@relation 'SEERA General informationCSV'

@attribute projID numeric
@attribute 'Contract Date' {05/2016,06/2008,06/2010,02/2016,12/2012,00/2016,07/2018,00/2018,08/2015,00/2001,03/2000,11/2016,05/2009,02/2010,01/2016,11/2014,03/2012,02/2014,12/2018,12/2015,00/2000,00/2008,3/2015,00/2011,01/2017,09/2009,10/2013,06/2006,04/2018,00/2004,09/2015,04/2019,00/2014,00/2009,05/2017,11/2015,08/2017,07/2017,04/2017,00/2012,08/2016,04/2014,00/2005,01/2009,00/2015,00/2017,05/2007,01/2010,12/2017,05/2013,05/2011,00/2006,06/2018,00/2013,11/2011,09/2018,01/2015,09/2014,00/2010,05/2004,02/2002,04/2004,01/2007,04/1997,09/2013,03/2019,08/2019,05/1994,12/1993,05/2001,06/2002,06/1998,02/2018,02/1997,02/2001,01/2019,10/2017,03/2018,00/1998,04/2016}
@attribute 'Contract software delivery date ' {05/2016,03/2009,01/2010,2/1/2018,05/2013,00/2016,12/2018,00/2018,10/2019,00/2005,09/2000,02/2017,8/2009,06/2010,06/2014,3/2019,00/2000,00/2009,00/2008,3/2017,00/2011,01/2019,04/2017,03/2010,09/2015,09/2006,11/2018,09/2016,11/2016,08/2019,00/2012,00/2014,00/2010,00/2001,11/2017,12/2016,08/2017,02/2019,05/2009,00/2017,10/2007,01/2011,03/2018,01/2012,00/2006,12/2014,01/2020,00/2013,02/2012,06/2018,09/2008,05/2015,01/2016,06/2019,10/2004,12/2002,09/2007,05/1998,04/2014,04/2019,07/2019,12/2019,12/1995,02/2002,12/1994,12/1997,12/2001,12/2017,03/2019,05/2018,00/1999,08/2016}
@attribute 'Actual software development start date' {00/2015,05/2016,09/2008,06/2009,02/2016,12/2012,00/2016,07/2018,00/2018,10/2015,00/2001,03/2000,04/2017,03/2010,03/2016,02/2015,06/2012,03/2014,01/2019,12/2015,00/2000,00/2009,00/2008,3/2015,00/2011,10/2009,11/2013,06/2006,06/2008,00/2004,11/2015,04/2019,00/2014,05/2017,08/2017,00/2012,00/2005,01/2009,00/2017,06/2007,01/2010,01/2018,05/2011,00/2006,01/2014,10/2018,00/2013,11/2011,07/2008,11/2014,00/2010,10/2019,05/2004,03/2002,01/2007,05/1997,02/2014,03/2019,12/2018,00/206,09/2005,07/1994,03/1997,07/2017,06/2019,11/2017,00/1998,01/2006}
@attribute 'Year of project (Main)' numeric
@attribute 'Organization id' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,42,43,44,45}
@attribute 'Organization type' {1,2,3,4,5,6,7,8}
@attribute 'Role in organization' {1,2,3,4,6,7,8}
@attribute 'Size of organization' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,N/A}
@attribute 'Size of IT department' {1,2,3,4,5,6,7,8,9,10,11,N/A}
@attribute 'Customer organization type' {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}
@attribute 'Estimated duration' numeric
@attribute 'Actual duration' numeric
@attribute 'Contract price ' string
@attribute 'Actual incurred costs ' string
@attribute '\% project gain (loss) (Main)' {'0\%','-17\%','-25\%',N/A,'63\%','-102\%','17\%','25\%','20\%','-100\%','-4\%','4\%','6\%','-122\%','3\%','45\%','12\%','9\%','-1\%','41\%','-21\%','-13\%','43\%','8\%','50\%','-14\%','33\%','-22\%','-150\%'}
@attribute 'Development type' {1,2,3,4}
@attribute 'Application Domain' {1,2,3,5,6,7}

@data
35,09/2015,11/2016,11/2015,2015,21,7,1,N/A,N/A,10,6,12,'Not exist',10000,N/A,1,3
36,04/2019,08/2019,04/2019,2019,13,5,1,3,1,3,4,4,?,?,?,3,7
37,00/2011,00/2012,00/2011,2012,11,4,1,16,11,10,12,18,8160000,8515200,'-4\%',3,2
38,00/2018,00/2018,00/2018,2018,11,4,4,16,11,10,6,6,2550000,2457000,'4\%',3,2
39,00/2014,00/2014,00/2014,2014,11,4,4,16,11,10,6,12,2550000,2406000,'6\%',1,2
40,00/2016,00/2018,00/2016,2016,14,2,2,13,1,13,2,24,?,?,?,1,7
41,00/2009,00/2010,00/2009,2009,14,2,2,16,4,13,12,36,450000,1000000,'-122\%',1,7
42,00/2001,00/2001,00/2001,2001,8,5,2,4,1,3,3,5,?,?,?,1,1
43,05/2017,11/2017,05/2017,2017,13,5,2,3,1,10,6,7,150000,150000,'0\%',1,2
44,11/2015,05/2016,11/2015,2015,13,5,2,3,1,1,7,7,?,?,?,1,3
45,08/2017,11/2017,08/2017,2017,15,5,2,3,2,10,3,6,?,?,?,3,7
46,05/2016,12/2016,02/2016,2016,11,4,2,16,11,10,6,12,2550000,2482500,'3\%',1,6
47,07/2017,01/2019,07/2018,2018,11,4,2,16,11,5,6,11,2550000,2457000,'4\%',1,7
48,04/2017,08/2017,04/2017,2017,11,4,2,16,11,4,4,6,1700000,1604000,'6\%',3,5
49,00/2012,00/2012,00/2012,2012,11,4,2,16,11,10,0.25,0.5,225000,123000,'45\%',4,2
50,00/2012,00/2012,00/2012,2012,11,4,2,16,11,1,0.25,0.5,212500,187750,'12\%',4,2
51,00/2016,00/2016,00/2016,2016,11,4,2,16,11,?,3,11,1275000,1164750,'9\%',3,2
52,00/2016,00/2016,00/2016,2016,11,4,2,16,11,?,7,12,3570000,3618300,'-1\%',3,2
53,00/2012,00/2012,00/2012,2012,11,4,2,16,11,10,1,1.5,390000,229500,'41\%',4,2
54,08/2016,02/2019,08/2017,2017,13,5,1,3,2,10,6,18,165000,200000,'-21\%',1,2
55,04/2014,06/2014,00/2014,2014,14,2,1,16,8,13,3,4,?,?,?,1,7
56,00/2005,00/2005,00/2005,2005,14,2,1,16,8,13,2,6,15000,17000,'-13\%',1,7
57,01/2009,05/2009,01/2009,2009,5,5,2,3,2,5,4,6,70000,70000,'0\%',1,7
58,00/2015,00/2016,00/2015,2015,11,4,1,16,11,?,8,12,5440000,5513600,'-1\%',3,2
59,00/2017,00/2017,00/2017,2017,42,4,2,3,1,4,3,3,450000000,450000000,'0\%',1,7
60,05/2007,10/2007,06/2007,2007,5,5,2,3,1,5,5,6,?,?,?,1,7
61,01/2010,01/2011,01/2010,2010,16,5,2,7,2,10,15,12,10000,10000,'0\%',1,5
62,12/2017,03/2018,01/2018,2017,5,5,2,4,2,2,2,3,?,?,?,1,3
63,05/2013,06/2014,11/2013,2013,11,4,2,9,11,4,6,8,2500000,2500000,'0\%',1,5
64,00/2016,00/2016,00/2016,2016,9,2,2,16,4,13,5,8,?,?,?,1,6
65,05/2011,01/2012,05/2011,2011,17,3,2,7,3,14,6,9,500000,500000,'0\%',1,7
66,?,?,00/2006,2006,18,5,2,7,2,5,12,18,?,?,?,1,7
67,00/2006,00/2006,00/2006,2006,18,5,2,7,2,5,3,6,?,?,?,1,5
68,02/2014,12/2014,01/2014,2014,7,5,1,5,6,4,10,16,?,?,?,2,2
69,?,?,00/2006,2006,18,5,2,7,2,4,3,6,?,?,?,1,5
70,06/2018,01/2020,10/2018,2018,19,8,2,9,1,13,18,24,?,?,?,1,2
71,00/2018,00/2018,00/2018,2018,42,4,2,7,1,4,6,6,500000000,500000000,'0\%',1,7
72,00/2013,00/2013,00/2013,2013,11,4,1,16,11,10,1,2,210000,119700,'43\%',4,2
73,11/2011,02/2012,11/2011,2011,11,4,1,8,11,10,3,4,1275000,1177500,'8\%',1,2
74,09/2018,06/2018,10/2018,2018,20,5,2,4,5,14,9,15,2000000,2000000,'0\%',1,2
75,00/2016,00/2016,00/2016,2016,12,5,1,3,2,12,6,16,?,?,?,1,2
76,12/2017,?,01/2018,2017,22,5,2,2,1,14,8,13,223726,'Not exist',N/A,1,7
77,00/2016,00/2017,00/2017,2016,22,5,2,2,1,14,12,9,1600000,1450000,'9\%',1,7
78,07/2018,09/2008,07/2008,2008,5,5,2,4,2,2,2,2.5,?,?,?,1,7
79,01/2015,05/2015,02/2015,2015,2,5,3,3,3,16,3,5,34000,34000,'0\%',1,7
80,09/2014,01/2016,11/2014,2014,2,5,2,3,3,14,6,12,250000,250000,'0\%',1,7
81,?,00/2013,00/2013,2013,44,7,1,N/A,N/A,1,4,5,10000,10000,'0\%',1,6
82,00/2010,00/2010,00/2010,2010,44,7,1,N/A,N/A,14,4,4,2000,2000,'0\%',1,6
83,00/2009,00/2012,00/2011,2009,23,1,2,16,2,1,4,12,76000,76000,'0\%',1,6
84,09/2018,06/2019,10/2019,2018,23,1,2,16,2,1,4,6,100000,50000,'50\%',1,6
85,05/2004,10/2004,05/2004,2004,45,7,1,N/A,N/A,10,4,5,7000,8000,'-14\%',2,5
86,02/2002,12/2002,03/2002,2002,45,7,2,N/A,N/A,2,7,10,10000,10000,'0\%',2,5
87,04/2004,09/2006,05/2004,2004,3,5,2,N/A,N/A,10,12,36,50000,25000,'50\%',2,7
88,01/2007,09/2007,01/2007,2007,3,5,2,N/A,N/A,2,2,9,8000,8000,'0\%',2,5
89,04/1997,05/1998,05/1997,1997,3,5,2,N/A,N/A,2,12,48,15000,30000,'-100\%',1,7
90,09/2013,04/2014,11/2013,2013,24,3,1,9,3,13,6,8,?,?,?,1,6
91,?,?,00/2016,2016,24,3,1,9,3,13,5,24,?,?,?,1,7
92,?,?,00/2017,2017,27,3,2,13,2,13,3,2,60000,40000,'33\%',1,7
93,?,?,05/2017,2017,27,3,2,13,2,13,3,6,?,?,?,1,5
94,?,?,02/2014,2014,26,8,1,9,2,13,9,13,?,?,?,1,5
95,01/2016,09/2016,02/2016,2016,7,5,6,6,9,4,4,10,300000,300000,'0\%',4,2
96,00/2006,00/2006,00/2006,2006,31,5,1,2,2,5,6,12,60000,60000,'0\%',1,7
97,?,04/2019,03/2019,2019,32,5,1,2,1,15,1,1,45000,55000,'-22\%',1,5
98,03/2019,07/2019,04/2019,2019,28,5,2,2,1,10,4,8,?,?,?,1,2
99,12/2018,12/2018,12/2018,2018,33,8,2,16,11,13,6,5.5,?,?,?,1,7
100,08/2019,12/2019,?,2019,29,5,3,1,1,10,3,1,?,?,?,1,2
101,00/2016,?,00/206,2016,30,5,1,1,1,10,1,2,?,?,?,1,6
102,?,?,09/2005,2005,18,5,2,7,2,13,3,4,?,?,?,2,5
103,?,00/2016,00/2016,2016,9,3,1,16,4,13,6,8,?,?,?,1,6
104,05/1994,12/1995,?,1994,35,5,2,4,2,3,9,15,1200000,'Not exist',N/A,1,1
105,12/1993,?,?,1993,35,5,2,4,2,3,9,15,1200000,'Not exist',N/A,1,1
106,05/2001,02/2002,?,2001,6,5,2,1,1,3,9,9,18000000,'Not exist',N/A,1,1
107,06/2002,12/2002,?,2002,6,5,2,3,1,3,9,9,2200000,'Not exist',N/A,1,1
108,06/1998,12/1994,07/1994,1998,35,5,2,4,2,3,12,12,320000,'Not exist',N/A,1,1
109,02/2018,11/2018,?,2018,6,5,2,2,1,3,9,9,350000,'Not exist',N/A,1,1
110,02/1997,12/1997,03/1997,1997,35,5,2,4,2,3,12,9,600000,'Not exist',N/A,1,1
111,02/2001,12/2001,?,2001,6,5,2,3,1,3,9,12,9000000,'Not exist',N/A,1,1
112,07/2017,12/2017,07/2017,2017,33,8,1,16,11,13,5,6,?,?,?,1,7
113,12/2018,07/2019,06/2019,2018,36,5,7,6,7,3,7,11,?,?,?,1,1
114,01/2019,03/2019,01/2019,2019,37,5,2,7,2,10,3,7,?,?,?,4,2
115,10/2017,05/2018,11/2017,2017,39,6,1,16,11,13,8,14,?,?,?,1,7
116,03/2018,06/2018,01/2018,2018,38,1,2,16,1,13,2,3,?,?,?,4,7
117,00/1998,00/1999,00/1998,1998,4,4,1,3,3,3,6,18,100000,100000,'0\%',1,1
118,?,?,01/2006,2006,14,2,2,16,6,13,2,5,?,?,?,1,5
119,04/2016,08/2016,?,2016,43,6,1,16,11,13,3,12,?,?,?,2,7
120,00/2016,00/2016,00/2016,2016,14,2,4,16,4,4,12,36,400000,1000000,'-150\%',1,7
